"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-771900","Li3AlCoO4","I41/a","-2.346","0.03","1.946","11","72","2.97","763.683","true","tetragonal",""
"mp-770726","Li9Al(CoO4)2","Pnma","-2.091","0.058","2.329","","80","2.887","771.359","true","orthorhombic",""
"mp-769801","Li2AlCoO4","Pc","-2.381","0.058","1.691","","16","3.129","173.835","true","monoclinic",""
"mp-770090","LiAlCoO3","P1","-2.449","0.059","2.194","","12","3.746","124.891","true","triclinic",""
"mp-770553","Li2AlCoO4","Pna21","-2.376","0.063","1.609","","32","3.163","343.915","true","orthorhombic",""
"mp-769760","Li2AlCoO4","Pmn21","-2.376","0.063","1.772","","16","3.166","171.829","true","orthorhombic",""
"mp-769769","Li2AlCoO4","C2221","-2.375","0.064","1.639","","16","3.037","179.097","true","orthorhombic",""
"mp-771906","Li2AlCoO4","P21/c","-2.371","0.069","1.569","","32","3.08","353.269","true","monoclinic",""
"mp-770610","Li2AlCoO4","P21/c","-2.369","0.07","1.685","","32","3.077","353.531","true","monoclinic",""
"mp-770550","Li2AlCoO4","Pnma","-2.366","0.073","1.696","","32","3.066","354.886","true","orthorhombic",""
"mp-853274","Li2AlCoO4","P21/c","-2.359","0.08","0.917","","32","3.375","322.322","true","monoclinic",""
"mp-761730","LiCo3CuO8","C2/m","-1.223","0.04","0.000","17","13","4.508","138.227","true","monoclinic",""
"mp-770184","Li3Co(CuO2)4","C2/m","-1.371","0.041","0.000","","16","5.257","145.909","true","monoclinic",""
"mp-767275","Li2CoCuO4","Imma","-1.576","0.044","0.000","","16","4.872","136.578","true","orthorhombic",""
"mp-761783","Li5Co2Cu3O10","P1","-1.531","0.055","0.000","","20","4.704","177.629","true","triclinic",""
"mp-767935","LiCoCuO4","P1","-1.282","0.063","0.000","","14","4.741","135.491","true","triclinic",""
"mp-767908","LiCo2CuO6","Cm","-1.238","0.064","0.199","","10","4.601","102.635","true","monoclinic",""
"mp-764366","LiCoCuO4","P2/m","-1.279","0.066","0.000","","7","4.712","68.163","true","monoclinic",""
"mp-764235","Li3Co2Cu3O10","P1","-1.303","0.067","0.000","","18","4.618","175.956","false","triclinic",""
