No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y
1,"Ba(W,Cu)1/2 O3",2 6 2,175,80.5,2.17391304347826,1.55,0.287,1.263,1.005,1.8245,0.8195,0.9,2,1.1,2.9,5.15,1.75,0.805,1.65714285714286,6.39751552795031,0.259029126213592,8.05465838509317,F
2,"Sr(W,Cu)1/2 O3",2 6 2,158,80.5,1.96273291925466,0.86,0.287,0.573,1.004,1.8245,0.8205,1,2,1,2.9,5.15,1.58,0.805,1.83544303797468,6.39751552795031,0.286899348654295,8.23295856592499,F
3,"Ba(Cu1/3,Ta2/3) O3",2 2 5,175,81,2.16049382716049,1.55,0.336666666666667,1.21333333333333,1.005,1.75966666666667,0.754666666666667,0.9,1.8,0.9,2.9,4.96666666666667,1.75,0.81,1.65714285714286,6.13168724279835,0.27025886864813,7.78883009994121,F
4,"Ba(Cu1/3,Nb2/3) O3",2 2 5,175,81,2.16049382716049,1.55,0.272,1.278,1.005,1.68633333333333,0.681333333333333,0.9,1.8,0.9,2.9,3.96666666666667,1.75,0.81,1.65714285714286,4.89711934156379,0.338391356542617,6.55426219870664,F
5,"Sr(Cu1/3,Nb2/3) O3",2 2 5,158,81,1.95061728395062,0.86,0.272,0.588,1.004,1.68633333333333,0.682333333333333,1,1.8,0.8,2.9,3.96666666666667,1.58,0.81,1.83544303797468,4.89711934156379,0.374800553132645,6.73256237953847,F
6,"Sr(Cu1/3,Ta2/3) O3",2 2 5,158,81,1.95061728395062,0.86,0.336666666666667,0.523333333333333,1.004,1.75966666666667,0.755666666666666,1,1.8,0.8,2.9,4.96666666666667,1.58,0.81,1.83544303797468,6.13168724279835,0.299337354515334,7.96713028077304,F
7,"Pb(Sc2/3,W1/3) O3",2 3 6,163,83.6666666666667,1.94820717131474,2,0.284,1.716,1.241,1.588,0.347,1.6,1.53333333333333,-0.0666666666666669,8.1,3.96666666666667,1.63,0.836666666666667,4.96932515337423,4.74103585657371,1.04815177604784,9.71036100994794,F
8,"Pb(Cd1/3,Nb2/3) O3",2 2 5,163,88.3333333333333,1.84528301886792,2,0.537333333333333,1.46266666666667,1.241,1.62,0.379,1.6,1.7,0.0999999999999999,8.1,4.53333333333333,1.63,0.883333333333333,4.96932515337423,5.13207547169811,0.968287621797185,10.1014006250723,F
9,"Ba(Bi,Nb)1/2 O3",2 3 5,175,97.5,1.79487179487179,1.55,1.0005,0.5495,1.005,1.5845,0.5795,0.9,1.75,0.85,2.9,6.25,1.75,0.975,1.65714285714286,6.41025641025641,0.258514285714286,8.06739926739927,F
10,"Ba(Bi,Ta)1/2 O3",2 3 5,175,97.5,1.79487179487179,1.55,1.049,0.501,1.005,1.6395,0.6345,0.9,1.75,0.85,2.9,7,1.75,0.975,1.65714285714286,7.17948717948718,0.230816326530612,8.83663003663004,F
11,"Ba(Bi2/3,W1/3) O3",2 3 6,175,102.666666666667,1.70454545454545,1.55,1.25333333333333,0.296666666666667,1.005,1.64266666666667,0.637666666666667,0.9,1.86666666666667,0.966666666666667,2.9,7.8,1.75,1.02666666666667,1.65714285714286,7.5974025974026,0.218119658119658,9.25454545454545,F
12,"Tl(Hf,W)1/2 O3",1 4 6,184,79.5,2.31446540880503,3.13,0.387,2.743,1.096,1.85,0.754,1.4,1.7,0.3,7.3,5.1,1.84,0.795,3.96739130434783,6.41509433962264,0.618446291560102,10.3824856439705,F
13,"Tl(Ce,W)1/2 O3",1 4 6,184,87.5,2.10285714285714,3.13,0.505,2.625,1.096,1.772,0.676,1.4,1.6,0.2,7.3,4.3,1.84,0.875,3.96739130434783,4.91428571428571,0.807317997977755,8.88167701863354,F
14,"Tl(Th,W)1/2 O3",1 4 6,184,91,2.02197802197802,3.13,0.5685,2.5615,1.096,1.766,0.67,1.4,1.7,0.3,7.3,4.8,1.84,0.91,3.96739130434783,5.27472527472527,0.752151268115942,9.2421165790731,F
15,"Tl(Na1/5,W4/5) O3",1 1 6,184,82.4,2.23300970873786,3.13,0.2598,2.8702,1.096,1.8968,0.8008,1.4,1.78,0.38,7.3,4.92,1.84,0.824,3.96739130434783,5.97087378640777,0.66445740544362,9.93826509075559,F
16,"Tl(Mg1/4,W3/4) O3",1 2 6,184,77,2.38961038961039,3.13,0.2335,2.8965,1.096,1.901,0.805,1.4,1.8,0.4,7.3,4.925,1.84,0.77,3.96739130434783,6.39610389610389,0.620282498344736,10.3634952004517,F
17,"Tl(Cd1/4,W3/4) O3",1 2 6,184,82.75,2.22356495468278,3.13,0.4825,2.6475,1.096,1.9285,0.8325,1.4,1.925,0.525,7.3,5.8,1.84,0.8275,3.96739130434783,7.00906344410876,0.566037293853074,10.9764547484566,F
18,"Tl(Y1/3,W2/3) O3",1 3 6,184,84,2.19047619047619,3.13,0.37,2.76,1.096,1.82433333333333,0.728333333333333,1.4,1.73333333333333,0.333333333333333,7.3,4.81666666666667,1.84,0.84,3.96739130434783,5.73412698412698,0.691891078682112,9.70151828847481,F
19,"Tl(Gd1/3,W2/3) O3",1 3 6,184,85.2666666666667,2.15793588741204,3.13,0.473,2.657,1.096,1.84533333333333,0.749333333333333,1.4,1.76666666666667,0.366666666666667,7.3,4.98333333333333,1.84,0.852666666666667,3.96739130434783,5.84440969507428,0.678835247927876,9.8118009994221,F
20,"Tl(Dy1/3,W2/3) O3",1 3 6,184,84.4,2.18009478672986,3.13,0.450333333333333,2.67966666666667,1.096,1.85933333333333,0.763333333333333,1.4,1.76666666666667,0.366666666666667,7.3,4.86666666666667,1.84,0.844,3.96739130434783,5.76619273301738,0.68804347826087,9.7335840373652,F
21,"Tl(Fe1/3,W2/3) O3",1 3 6,184,75.5,2.43708609271523,3.13,0.298666666666667,2.83133333333333,1.096,1.98366666666667,0.887666666666667,1.4,1.93333333333333,0.533333333333333,7.3,5.2,1.84,0.755,3.96739130434783,6.88741721854305,0.576034698996656,10.8548085228909,F
22,"Tl(Ti,W)1/2 O3",1 4 6,184,74.25,2.47811447811448,3.13,0.2325,2.8975,1.096,1.8545,0.7585,1.4,1.8,0.4,7.3,4.5,1.84,0.7425,3.96739130434783,6.06060606060606,0.654619565217391,10.0279973649539,F
23,KNbO3,1 5,178,78,2.28205128205128,0.839,0.261,0.578,0.897,1.771,0.874,0.8,1.7,0.9,2.2,3.6,1.78,0.78,1.23595505617978,4.61538461538461,0.267790262172285,5.85133967156439,F
