No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
1,"Ba(W,Cu)1/2 O3",2 6 2,175.00,80.50,2.17,1.55,0.29,1.26,1.01,1.82,0.82,0.90,2.00,1.10,2.90,5.15,1.75,0.81,1.66,6.40,0.26,8.05,F,1
2,"Sr(W,Cu)1/2 O3",2 6 2,158.00,80.50,1.96,0.86,0.29,0.57,1.00,1.82,0.82,1.00,2.00,1.00,2.90,5.15,1.58,0.81,1.84,6.40,0.29,8.23,F,1
3,"Ba(Cu1/3,Ta2/3) O3",2 2 5,175.00,81.00,2.16,1.55,0.34,1.21,1.01,1.76,0.75,0.90,1.80,0.90,2.90,4.97,1.75,0.81,1.66,6.13,0.27,7.79,F,1
4,"Ba(Cu1/3,Nb2/3) O3",2 2 5,175.00,81.00,2.16,1.55,0.27,1.28,1.01,1.69,0.68,0.90,1.80,0.90,2.90,3.97,1.75,0.81,1.66,4.90,0.34,6.55,F,1
5,"Sr(Cu1/3,Nb2/3) O3",2 2 5,158.00,81.00,1.95,0.86,0.27,0.59,1.00,1.69,0.68,1.00,1.80,0.80,2.90,3.97,1.58,0.81,1.84,4.90,0.37,6.73,F,1
6,"Sr(Cu1/3,Ta2/3) O3",2 2 5,158.00,81.00,1.95,0.86,0.34,0.52,1.00,1.76,0.76,1.00,1.80,0.80,2.90,4.97,1.58,0.81,1.84,6.13,0.30,7.97,F,1
7,"Pb(Sc2/3,W1/3) O3",2 3 6,163.00,83.67,1.95,2.00,0.28,1.72,1.24,1.59,0.35,1.60,1.53,-0.07,8.10,3.97,1.63,0.84,4.97,4.74,1.05,9.71,F,1
8,"Pb(Cd1/3,Nb2/3) O3",2 2 5,163.00,88.33,1.85,2.00,0.54,1.46,1.24,1.62,0.38,1.60,1.70,0.10,8.10,4.53,1.63,0.88,4.97,5.13,0.97,10.10,F,1
9,"Ba(Bi,Nb)1/2 O3",2 3 5,175.00,97.50,1.79,1.55,1.00,0.55,1.01,1.58,0.58,0.90,1.75,0.85,2.90,6.25,1.75,0.98,1.66,6.41,0.26,8.07,F,1
10,"Ba(Bi,Ta)1/2 O3",2 3 5,175.00,97.50,1.79,1.55,1.05,0.50,1.01,1.64,0.63,0.90,1.75,0.85,2.90,7.00,1.75,0.98,1.66,7.18,0.23,8.84,F,1
11,"Ba(Bi2/3,W1/3) O3",2 3 6,175.00,102.67,1.70,1.55,1.25,0.30,1.01,1.64,0.64,0.90,1.87,0.97,2.90,7.80,1.75,1.03,1.66,7.60,0.22,9.25,F,1
12,"Tl(Hf,W)1/2 O3",1 4 6,184.00,79.50,2.31,3.13,0.39,2.74,1.10,1.85,0.75,1.40,1.70,0.30,7.30,5.10,1.84,0.80,3.97,6.42,0.62,10.38,F,1
13,"Tl(Ce,W)1/2 O3",1 4 6,184.00,87.50,2.10,3.13,0.51,2.63,1.10,1.77,0.68,1.40,1.60,0.20,7.30,4.30,1.84,0.88,3.97,4.91,0.81,8.88,F,1
14,"Tl(Th,W)1/2 O3",1 4 6,184.00,91.00,2.02,3.13,0.57,2.56,1.10,1.77,0.67,1.40,1.70,0.30,7.30,4.80,1.84,0.91,3.97,5.27,0.75,9.24,F,1
15,"Tl(Na1/5,W4/5) O3",1 1 6,184.00,82.40,2.23,3.13,0.26,2.87,1.10,1.90,0.80,1.40,1.78,0.38,7.30,4.92,1.84,0.82,3.97,5.97,0.66,9.94,F,1
16,"Tl(Mg1/4,W3/4) O3",1 2 6,184.00,77.00,2.39,3.13,0.23,2.90,1.10,1.90,0.81,1.40,1.80,0.40,7.30,4.93,1.84,0.77,3.97,6.40,0.62,10.36,F,1
17,"Tl(Cd1/4,W3/4) O3",1 2 6,184.00,82.75,2.22,3.13,0.48,2.65,1.10,1.93,0.83,1.40,1.93,0.53,7.30,5.80,1.84,0.83,3.97,7.01,0.57,10.98,F,1
18,"Tl(Y1/3,W2/3) O3",1 3 6,184.00,84.00,2.19,3.13,0.37,2.76,1.10,1.82,0.73,1.40,1.73,0.33,7.30,4.82,1.84,0.84,3.97,5.73,0.69,9.70,F,1
19,"Tl(Gd1/3,W2/3) O3",1 3 6,184.00,85.27,2.16,3.13,0.47,2.66,1.10,1.85,0.75,1.40,1.77,0.37,7.30,4.98,1.84,0.85,3.97,5.84,0.68,9.81,F,1
20,"Tl(Dy1/3,W2/3) O3",1 3 6,184.00,84.40,2.18,3.13,0.45,2.68,1.10,1.86,0.76,1.40,1.77,0.37,7.30,4.87,1.84,0.84,3.97,5.77,0.69,9.73,F,1
21,"Tl(Fe1/3,W2/3) O3",1 3 6,184.00,75.50,2.44,3.13,0.30,2.83,1.10,1.98,0.89,1.40,1.93,0.53,7.30,5.20,1.84,0.76,3.97,6.89,0.58,10.85,F,1
22,"Tl(Ti,W)1/2 O3",1 4 6,184.00,74.25,2.48,3.13,0.23,2.90,1.10,1.85,0.76,1.40,1.80,0.40,7.30,4.50,1.84,0.74,3.97,6.06,0.65,10.03,F,1
23,KNbO3,1 5,178.00,78.00,2.28,0.84,0.26,0.58,0.90,1.77,0.87,0.80,1.70,0.90,2.20,3.60,1.78,0.78,1.24,4.62,0.27,5.85,F,1
24,KTaO3,1 5,178.00,78.00,2.28,0.84,0.36,0.48,0.90,1.88,0.98,0.80,1.70,0.90,2.20,5.10,1.78,0.78,1.24,6.54,0.19,7.77,F,1
25,NaTaO3,1 5,153.00,78.00,1.96,0.18,0.36,-0.18,0.96,1.88,0.93,1.20,1.70,0.50,2.20,5.10,1.53,0.78,1.44,6.54,0.22,7.98,F,1
26,SrTiO3,2 4,158.00,74.50,2.12,0.86,0.19,0.68,1.00,1.58,0.57,1.00,1.60,0.60,2.90,3.40,1.58,0.75,1.84,4.56,0.40,6.40,F,1
27,CdTiO3,2 4,145.00,74.50,1.95,1.09,0.19,0.91,1.32,1.58,0.26,1.70,1.60,-0.10,6.40,3.40,1.45,0.75,4.41,4.56,0.97,8.98,F,1
28,BaTiO3,2 4,175.00,74.50,2.35,1.55,0.19,1.37,1.01,1.58,0.57,0.90,1.60,0.70,2.90,3.40,1.75,0.75,1.66,4.56,0.36,6.22,F,1
29,PbTiO3,2 4,163.00,74.50,2.19,2.00,0.19,1.82,1.24,1.58,0.34,1.60,1.60,0.00,8.10,3.40,1.63,0.75,4.97,4.56,1.09,9.53,F,1
30,"(K,Bi)1/2Ti O3",1 3 4,162.50,74.50,2.18,1.29,0.19,1.10,1.15,1.58,0.43,1.30,1.60,0.30,5.55,3.40,1.63,0.75,3.42,4.56,0.75,7.98,F,1
31,"(Na,Bi)1/2Ti O3",1 3 4,144.00,74.50,1.93,0.96,0.19,0.77,1.18,1.58,0.40,1.35,1.60,0.25,5.55,3.40,1.44,0.75,3.85,4.56,0.84,8.42,F,1
32,"Pb(Sc,Nb)1/2 O3",2 3 5,163.00,83.25,1.96,2.00,0.27,1.73,1.24,1.54,0.30,1.60,1.50,-0.10,8.10,3.38,1.63,0.83,4.97,4.05,1.23,9.02,F,1
33,"Pb(Fe,Nb)1/2 O3",2 3 5,163.00,78.25,2.08,2.00,0.30,1.70,1.24,1.73,0.49,1.60,1.75,0.15,8.10,4.00,1.63,0.78,4.97,5.11,0.97,10.08,F,1
34,"Pb(Sc,Ta)1/2 O3",2 3 5,163.00,83.25,1.96,2.00,0.32,1.68,1.24,1.60,0.36,1.60,1.50,-0.10,8.10,4.13,1.63,0.83,4.97,4.95,1.00,9.92,F,1
35,"Pb(Fe,Ta)1/2 O3",2 3 5,163.00,78.25,2.08,2.00,0.35,1.65,1.24,1.78,0.54,1.60,1.75,0.15,8.10,4.75,1.63,0.78,4.97,6.07,0.82,11.04,F,1
36,"Pb(Mg1/3,Nb2/3) O3",2 2 5,163.00,80.67,2.02,2.00,0.21,1.79,1.24,1.58,0.34,1.60,1.53,-0.07,8.10,3.37,1.63,0.81,4.97,4.17,1.19,9.14,F,1
37,"Pb(Zn1/3,Nb2/3) O3",2 2 5,163.00,81.33,2.00,2.00,0.27,1.73,1.24,1.66,0.42,1.60,1.67,0.07,8.10,4.20,1.63,0.81,4.97,5.16,0.96,10.13,F,1
38,"Pb(Co1/3,Nb2/3) O3",2 2 5,163.00,81.50,2.00,2.00,0.33,1.68,1.24,1.67,0.43,1.60,1.70,0.10,8.10,3.95,1.63,0.82,4.97,4.85,1.03,9.82,F,1
39,"Pb(Ni1/3,Nb2/3) O3",2 2 5,163.00,79.67,2.05,2.00,0.30,1.70,1.24,1.68,0.44,1.60,1.73,0.13,8.10,4.03,1.63,0.80,4.97,5.06,0.98,10.03,F,1
40,"Pb(Mg1/3,Ta2/3) O3",2 2 5,163.00,80.67,2.02,2.00,0.27,1.73,1.24,1.66,0.42,1.60,1.53,-0.07,8.10,4.37,1.63,0.81,4.97,5.41,0.92,10.38,F,1
41,"Pb(Co1/3,Ta2/3) O3",2 2 5,163.00,81.50,2.00,2.00,0.39,1.61,1.24,1.74,0.50,1.60,1.70,0.10,8.10,4.95,1.63,0.82,4.97,6.07,0.82,11.04,F,1
42,"Pb(Ni1/3,Ta2/3) O3",2 2 5,163.00,79.67,2.05,2.00,0.37,1.63,1.24,1.75,0.51,1.60,1.73,0.13,8.10,5.03,1.63,0.80,4.97,6.32,0.79,11.29,F,1
43,"Pb(Fe2/3,W1/3) O3",2 3 6,163.00,77.00,2.12,2.00,0.32,1.68,1.24,1.84,0.59,1.60,2.20,0.60,8.10,4.80,1.63,0.77,4.97,6.23,0.80,11.20,F,1
44,DyCrO3,3 3,150.00,75.50,1.99,0.79,0.38,0.41,1.31,1.66,0.35,1.30,1.60,0.30,3.40,3.45,1.50,0.76,2.27,4.57,0.50,6.84,F,1
45,HoCrO3,3 3,135.00,75.50,1.79,0.76,0.38,0.37,1.32,1.66,0.34,1.30,1.60,0.30,3.45,3.45,1.35,0.76,2.56,4.57,0.56,7.13,F,1
46,YbCrO3,3 3,133.00,75.50,1.76,0.69,0.38,0.31,1.27,1.66,0.39,1.20,1.60,0.40,3.60,3.45,1.33,0.76,2.71,4.57,0.59,7.28,F,1
